region	seed	stat	team	adjem	adjo	adjd	adjt	luck	sadjem	oppo	oppd	scadjem
east	1	17	Villanova	30.72	122.7	92	63.6	0.026	9.91	110.1	100.2	4.21
east	16	84	Mount St. Mary's	-3.94	99.4	103.3	66.4	0.072	-5.03	101.5	106.6	11.72
east	8	34	Wisconsin	22.24	113.5	91.3	62.9	0	9.02	109.8	100.8	-1.01
east	9	23	Virginia Tech	14.86	117.3	102.5	67.9	0.061	8.68	110.1	101.5	-7.55
east	5	1	Virginia	26.57	113.6	87	58.5	-0.051	12.03	111.4	99.3	2.66
east	12	79	UNC Wilmington	12.42	117.8	105.3	69.7	0.051	0.19	105.1	104.9	2.55
east	4	30	Florida	26.32	115.8	89.5	68.4	-0.046	11.54	110.1	98.5	8.83
east	13	50	East Tennessee St.	11.53	108.1	96.5	69.7	0.002	-1.37	105.3	106.7	0.54
east	6	48	SMU	25.31	120.1	94.8	63.2	0.02	3.18	104.9	101.8	-1.03
east	11	54	Providence	12.87	108.1	95.2	66	0.027	8.15	109.1	101	-4.05
east	3	6	Baylor	25.08	117.3	92.2	62.7	0.002	12.82	111.4	98.6	1.61
east	14	40	New Mexico	3.37	106.4	103	68.4	0.024	2.31	105.3	103	-1.2
east	7	82	South Carolina	16.92	105.5	88.5	67.8	-0.004	8.36	108.6	100.3	2.21
east	10	69	Marquette	17.51	120.9	103.4	69.5	-0.062	8.85	109.1	100.2	-1.97
east	2	74	Duke	24.99	121	96	67.6	0.027	12.26	111.4	99.2	0.08
east	15	19	Troy	2.65	109.9	107.3	67.6	-0.037	-2.89	102.2	105.1	-6.68
west	1	0	Gonzaga	33.03	120.7	87.7	69.7	0.016	0.59	104.9	104.3	0.69
west	16	91	South Dakota	1.61	103.8	102.2	70.3	0.071	-2.89	105.3	108.2	-1.67
west	8	27	Northwestern	15.47	111.2	95.7	64.7	0.021	7.69	108.6	100.9	-3.06
west	9	64	Vanderbilt	16.19	112.3	96.1	65.2	-0.035	11.1	109.9	98.8	6.57
west	5	54	Notre Dame	21.04	118.9	97.8	66.7	0.021	10.55	110.2	99.6	-3.99
west	12	90	Princeton	12.48	109.4	96.9	62.8	0.025	-1.48	103.4	104.9	2.4
west	4	52	West Virginia	26.9	116.5	89.6	69.5	-0.043	9.85	109.4	99.5	-7.8
west	13	0	Bucknell	8.76	109.1	100.3	69.3	0.018	-4.33	100.9	105.3	1.17
west	6	55	Maryland	14.9	113.6	98.7	66.7	0.064	7.72	108	100.3	-0.86
west	11	63	Xavier	15.21	114.8	99.6	66.8	0.03	10.92	110.7	99.8	5.53
west	3	56	Florida St.	22.65	116.7	94	70.4	0.023	9.62	110.8	101.2	-3.54
west	14	76	Florida Gulf Coast	5	109.6	104.6	64.8	0.051	-5.02	103.6	108.6	2.67
west	7	81	Saint Mary's	24.62	119	94.3	58.9	0.034	-0.32	104	104.3	-4.34
west	10	73	VCU	14.52	110.1	95.6	67.8	0.036	3.8	105.7	101.9	1.27
west	2	48	Arizona	22.48	117.4	94.9	65.3	0.064	6.34	108	101.6	1.62
west	15	50	North Dakota St.	0.19	104.5	104.3	66.3	0.081	-1.64	105.6	107.3	0.66
south	1	50	Kansas	26.01	120.8	94.8	69.9	0.074	12.26	111.1	98.8	2.69
south	16	80	UC Davis	-4.76	97.9	102.6	68.1	0.109	-6.19	100.1	106.3	-1.14
south	8	74	Miami Fl	16.89	110.3	93.5	62.6	0.03	10.02	111	100.9	-4.09
